ID,匹配关系ID,版本ID,物料项ID,*背景数据ID,背景数据分类,背景数据名称（中文）,背景数据名称（英文）,参考产品,系统模型,地理位置（中文）,单位,碳足迹,所属标准
46641933362167822,46641931356766223,41524144274399237,45219317083369478,26336156619725274,副产品,镍铁生产,ferronickel production,镍铁,Cut-off,全球,kg,8.7353512717155,
46641933362167823,46641931356766223,41524144274399237,45219317083369478,26336156619733621,副产品,镍铁市场,market for ferronickel,镍铁,Cut-off,全球,kg,8.75473264602171,
46641933362167814,46641931356766222,41524144274399237,45219317082583055,26336156619725359,副产品,尼龙6-6市场，玻璃纤维填充,"market for nylon 6-6, glass-filled",尼龙6-6，玻璃纤维填充,Cut-off,欧洲,kg,7.19189838691292,
46641933362167815,46641931356766222,41524144274399237,45219317082583055,26336156619726359,副产品,尼龙6-6生产，玻璃纤维填充,"nylon 6-6 production, glass-filled",尼龙6-6，玻璃纤维填充,Cut-off,欧洲,kg,7.16255177729048,
46641933362167816,46641931356766222,41524144274399237,45219317082583055,26336156619729963,副产品,尼龙6-6市场,market for nylon 6-6,尼龙6-6,Cut-off,世界其他地区,kg,8.31870564536508,
46641933362167817,46641931356766222,41524144274399237,45219317082583055,26336156619730137,副产品,尼龙6-6生产,nylon 6-6 production,尼龙6-6,Cut-off,欧洲,kg,8.22384041067621,
46641933362167818,46641931356766222,41524144274399237,45219317082583055,26336156619733747,副产品,尼龙6-6市场,market for nylon 6-6,尼龙6-6,Cut-off,欧洲,kg,8.25318702029866,
46641933362167819,46641931356766222,41524144274399237,45219317082583055,26336156619734454,副产品,尼龙6-6生产，玻璃纤维填充,"nylon 6-6 production, glass-filled",尼龙6-6，玻璃纤维填充,Cut-off,世界其他地区,kg,7.16954223800991,
46641933362167820,46641931356766222,41524144274399237,45219317082583055,26336156619736544,副产品,尼龙6-6生产,nylon 6-6 production,尼龙6-6,Cut-off,世界其他地区,kg,8.22968306276838,
46641933362167821,46641931356766222,41524144274399237,45219317082583055,26336156619741309,副产品,尼龙6-6市场，玻璃纤维填充,"market for nylon 6-6, glass-filled",尼龙6-6，玻璃纤维填充,Cut-off,世界其他地区,kg,7.25856482060658,
46641933361643526,46641931356766217,41524144274399237,45219317081796622,26336156619723286,副产品,聚甲基丙烯酸甲酯生产，珠粒,"polymethyl methacrylate production, beads",聚甲基丙烯酸甲酯，珠粒,Cut-off,世界其他地区,kg,7.36156191324232,
46641933361905669,46641931356766217,41524144274399237,45219317081796622,26336156619723434,副产品,聚甲基丙烯酸甲酯生产，珠粒,"polymethyl methacrylate production, beads",聚甲基丙烯酸甲酯，珠粒,Cut-off,欧洲,kg,7.35048569033167,
46641933361905670,46641931356766217,41524144274399237,45219317081796622,26336156619724612,副产品,聚甲基丙烯酸甲酯市场，片材,"market for polymethyl methacrylate, sheet",聚甲基丙烯酸甲酯，片状,Cut-off,全球,kg,8.75937607396186,
46641933361905671,46641931356766217,41524144274399237,45219317081796622,26336156619725062,副产品,聚甲基丙烯酸甲酯生产，片状,"polymethyl methacrylate production, sheet",聚甲基丙烯酸甲酯，片状,Cut-off,世界其他地区,kg,8.67928824397076,
46641933361905672,46641931356766217,41524144274399237,45219317081796622,26336156619729352,副产品,聚甲基丙烯酸甲酯市场，珠子,"market for polymethyl methacrylate, beads",聚甲基丙烯酸甲酯，珠粒,Cut-off,全球,kg,7.44685837615895,
46641933361905673,46641931356766217,41524144274399237,45219317081796622,26336156619741745,副产品,聚甲基丙烯酸甲酯生产，片状,"polymethyl methacrylate production, sheet",聚甲基丙烯酸甲酯，片状,Cut-off,欧洲,kg,8.65775551634822,
46641933361905674,46641931356766216,41524144274399237,45219317082058767,26336156619726762,副产品,丙烯腈-丁二烯-苯乙烯三元共聚物市场，ABS树脂,market for acrylonitrile-butadiene-styrene copolymer,丙烯腈-丁二烯-苯乙烯三元共聚物，ABS树脂,Cut-off,全球,kg,4.65453769012807,
46641933361905675,46641931356766216,41524144274399237,45219317082058767,26336156619730754,副产品,丙烯腈-丁二烯-苯乙烯共聚物生产,acrylonitrile-butadiene-styrene copolymer production,丙烯腈-丁二烯-苯乙烯三元共聚物，ABS树脂,Cut-off,欧洲,kg,4.54190066216605,
46641933361905676,46641931356766216,41524144274399237,45219317082058767,26336156619739551,副产品,丙烯腈-丁二烯-苯乙烯共聚物生产,acrylonitrile-butadiene-styrene copolymer production,丙烯腈-丁二烯-苯乙烯三元共聚物，ABS树脂,Cut-off,世界其他地区,kg,4.57727350339976,
