ID,匹配关系ID,版本ID,物料项ID,*背景数据ID,背景数据分类,背景数据名称（中文）,背景数据名称（英文）,参考产品,系统模型,地理位置（中文）,单位,碳足迹,所属标准
46641631158657034,46641625617981458,41524144274399237,45219317083369479,26336156619722399,回收利用,废铁的分拣和压制,sorting and pressing of iron scrap,废铁，分拣、压制后,Cut-off,世界其他地区,kg,0.0309978225904355,
46641631158657035,46641625617981458,41524144274399237,45219317083369479,26336156619724665,回收利用,金属废料处理，混合，用于回收，未分拣，进行分拣,"treatment of metal scrap, mixed, for recycling, unsorted, sorting",废铁，分拣、压制后,Cut-off,欧洲（不包括瑞士）,kg,0.0468718440472447,
46641631158657036,46641625617981458,41524144274399237,45219317083369479,26336156619724838,回收利用,废铁，分拣、压制后，回收截断,"iron scrap, sorted, pressed, Recycled Content cut-off",废铁，分拣、压制后,Cut-off,全球,kg,0,
46641631158657037,46641625617981458,41524144274399237,45219317083369479,26336156619734515,回收利用,废铁市场，分类，压制,"market for iron scrap, sorted, pressed",废铁，分拣、压制后,Cut-off,欧洲,kg,0.0367142629458807,
46641631158657038,46641625617981458,41524144274399237,45219317083369479,26336156619736852,回收利用,废铁市场，分类，压制,"market for iron scrap, sorted, pressed",废铁，分拣、压制后,Cut-off,世界其他地区,kg,0.0697467957100147,
46641631158657039,46641625617981458,41524144274399237,45219317083369479,26336156619737029,回收利用,废铁，未分拣，回收截断,"iron scrap, unsorted, Recycled Content cut-off",废铁，未分拣,Cut-off,全球,kg,0,
46641631158657040,46641625617981458,41524144274399237,45219317083369479,26336156619737193,回收利用,金属废料处理，混合，用于回收，未分拣，进行分拣,"treatment of metal scrap, mixed, for recycling, unsorted, sorting",废铁，分拣、压制后,Cut-off,瑞士,kg,0.0355606751179302,
46641631158657041,46641625617981458,41524144274399237,45219317083369479,26336156619738957,回收利用,金属废料处理，混合，用于回收，未分拣，进行分拣,"treatment of metal scrap, mixed, for recycling, unsorted, sorting",废铁，分拣、压制后,Cut-off,世界其他地区,kg,0.0924178592270052,
46641631158657042,46641625617981458,41524144274399237,45219317083369479,26336156619741465,回收利用,废铁的分拣和压制,sorting and pressing of iron scrap,废铁，分拣、压制后,Cut-off,欧洲,kg,0.0262057742902889,
46641631158657043,46641625617981458,41524144274399237,45219317083369479,26336156619742819,回收利用,废铁市场，未分类的,"market for iron scrap, unsorted",废铁，未分拣,Cut-off,全球,kg,0.00352310565774756,
46641631158132745,46641625617981457,41524144274399237,45219317081796623,26336156619723258,回收利用,废塑料，消费电子产品，分拣后，回收截断,"waste plastic, consumer electronics, sorted, Recycled Content cut-off",废塑料，消费电子产品，分拣后,Cut-off,全球,kg,0,
46641631158132746,46641625617981457,41524144274399237,45219317081796623,26336156619723692,回收利用,废塑料市场，消费电子产品，分类,"market for waste plastic, consumer electronics, sorted",废塑料，消费电子产品，分拣后,Cut-off,全球,kg,0.120979486206638,
46641631158132747,46641625617981457,41524144274399237,45219317081796623,26336156619726417,回收利用,塑料颗粒生产，未指定，回收，非正规部门,"plastic granulate production, unspecified, recycled, informal sector",塑料颗粒，未指定，再生,Cut-off,印度,kg,0.520567566672793,
46641631158132748,46641625617981457,41524144274399237,45219317081796623,26336156619728133,回收利用,废弃塑料，消费电子产品，未分类市场,"market for waste plastic, consumer electronics, unsorted",废塑料，消费电子产品，未分拣,Cut-off,印度,kg,0.0308147121239652,
46641631158132749,46641625617981457,41524144274399237,45219317081796623,26336156619734143,回收利用,废塑料，消费电子产品，未分拣，回收截断,"waste plastic, consumer electronics, unsorted, Recycled Content cut-off",废塑料，消费电子产品，未分拣,Cut-off,全球,kg,0,
46641631158132750,46641625617981457,41524144274399237,45219317081796623,26336156619734256,回收利用,废塑料处理，消费电子产品，拆解，分拣和清洁，正规部门,"treatment of waste plastic, consumer electronics, dismantling, sorting and cleaning, formal sector",废塑料，消费电子产品，分拣后,Cut-off,印度,kg,0.160348493930167,
46641631158132751,46641625617981457,41524144274399237,45219317081796623,26336156619735514,回收利用,废弃塑料，消费电子产品，未分类市场,"market for waste plastic, consumer electronics, unsorted",废塑料，消费电子产品，未分拣,Cut-off,世界其他地区,kg,0.0296562209915286,
46641631158132752,46641625617981457,41524144274399237,45219317081796623,26336156619735663,回收利用,塑料颗粒市场，未指定，回收,"market for plastic granulate, unspecified, recycled",塑料颗粒，未指定，再生,Cut-off,印度,kg,0.552818822107455,
46641631158132753,46641625617981457,41524144274399237,45219317081796623,26336156619737504,回收利用,塑料颗粒生产，未指定，回收，正规部门,"plastic granulate production, unspecified, recycled, formal sector",塑料颗粒，未指定，再生,Cut-off,印度,kg,0.807943267500527,
46641631158132754,46641625617981457,41524144274399237,45219317081796623,26336156619740513,回收利用,废塑料处理，消费电子产品，手动拆解，分拣和清洁，非正规部门,"treatment of waste plastic, consumer electronics, manual dismantling, sorting and cleaning, informal sector",废塑料，消费电子产品，分拣后,Cut-off,印度,kg,0.0825481554888963,
46641631158132755,46641625617981457,41524144274399237,45219317081796623,26336156619794954,回收利用,"HiQ | 生产 | 废塑料处理, 预处理, 塑料清洗","HiQ | Production | Treatment of waste plastic, cleaning",废塑料,Cut-off,中国,kg,0.0831794512405592,
46641631158132756,46641625617981457,41524144274399237,45219317081796623,26336156619794982,回收利用,"HiQ | 生产 | 废塑料, 截断","HiQ | Production | Waste plastic, Recycled Content cut-off",废塑料,Cut-off,中国,kg,0,
46641631158394896,46641625617981456,41524144274399237,45219317082583056,26336156619723258,回收利用,废塑料，消费电子产品，分拣后，回收截断,"waste plastic, consumer electronics, sorted, Recycled Content cut-off",废塑料，消费电子产品，分拣后,Cut-off,全球,kg,0,
46641631158394897,46641625617981456,41524144274399237,45219317082583056,26336156619723692,回收利用,废塑料市场，消费电子产品，分类,"market for waste plastic, consumer electronics, sorted",废塑料，消费电子产品，分拣后,Cut-off,全球,kg,0.120979486206638,
46641631158394898,46641625617981456,41524144274399237,45219317082583056,26336156619726417,回收利用,塑料颗粒生产，未指定，回收，非正规部门,"plastic granulate production, unspecified, recycled, informal sector",塑料颗粒，未指定，再生,Cut-off,印度,kg,0.520567566672793,
46641631158394899,46641625617981456,41524144274399237,45219317082583056,26336156619728133,回收利用,废弃塑料，消费电子产品，未分类市场,"market for waste plastic, consumer electronics, unsorted",废塑料，消费电子产品，未分拣,Cut-off,印度,kg,0.0308147121239652,
46641631158394900,46641625617981456,41524144274399237,45219317082583056,26336156619734143,回收利用,废塑料，消费电子产品，未分拣，回收截断,"waste plastic, consumer electronics, unsorted, Recycled Content cut-off",废塑料，消费电子产品，未分拣,Cut-off,全球,kg,0,
