ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
42618945428643848,42618945419993099,41524144274399237,42433951606104080,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
46641625663856647,46641625617981458,41524144274399237,45219317083369479,41705996354338823,回收用材料,Materials for recycling,清单指标/输出流,特殊资源指标,kg
46641625663856646,46641625617981457,41524144274399237,45219317081796623,41705996354338823,回收用材料,Materials for recycling,清单指标/输出流,特殊资源指标,kg
46641625663856645,46641625617981456,41524144274399237,45219317082583056,41705996354338823,回收用材料,Materials for recycling,清单指标/输出流,特殊资源指标,kg
46641625663594517,46641625617981455,41524144274399237,45219317082320901,41705996354338823,回收用材料,Materials for recycling,清单指标/输出流,特殊资源指标,kg
46641625663594516,46641625617981454,41524144274399237,45219317083369480,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
46641625663594515,46641625617981453,41524144274399237,45219317082058757,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
46641625663594514,46641625617981452,41524144274399237,45219317082583057,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
46641625663594513,46641625617981451,41524144274399237,45219317082320902,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
46641625663594503,46641625617981450,41524144274399237,45219317085466629,41705996954648591,乙烷,Ethane,排放到空气/未指定,基本流,kg
46641625663594504,46641625617981450,41524144274399237,45219317085466629,41705996954648592,乙烷,Ethane,排放到空气/城市近地空气,基本流,kg
46641625663332374,46641625617981450,41524144274399237,45219317085466629,41705996954648593,乙烷,Ethane,排放到空气/低人口密度，长期,基本流,kg
46641625663594502,46641625617981450,41524144274399237,45219317085466629,41705996954910725,乙烷,Ethane,排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
