ID,匹配关系ID,版本ID,物料项ID,*背景数据ID,背景数据分类,背景数据名称（中文）,背景数据名称（英文）,参考产品,系统模型,地理位置（中文）,单位,碳足迹,所属标准
42618946975817734,42618945419993099,41524144274399237,42433951606104080,26336156619721511,废弃物处置,废聚氯乙烯市场,market for waste polyvinylchloride,废聚氯乙烯,Cut-off,爱尔兰,kg,1.00859830969916,温室气体-产品碳足迹-量化要求和指南
42618946975817735,42618945419993099,41524144274399237,42433951606104080,26336156619721529,废弃物处置,废塑料处理，混合物，露天堆放，极干入渗等级（-250mm）,"treatment of waste plastic, mixture, open dump, hyperarid infiltration class (-250mm)",废塑料，混合物,Cut-off,全球,kg,0.11001514,温室气体-产品碳足迹-量化要求和指南
42618946975817736,42618945419993099,41524144274399237,42433951606104080,26336156619721566,废弃物处置,废聚苯乙烯处理，城市焚烧,"treatment of waste polystyrene, municipal incineration",废聚苯乙烯,Cut-off,全球,kg,3.19711338246428,温室气体-产品碳足迹-量化要求和指南
42618946975817737,42618945419993099,41524144274399237,42433951606104080,26336156619721567,废弃物处置,废聚苯乙烯处理，露天堆放，干入渗等级（100mm）,"treatment of waste polystyrene, open dump, dry infiltration class (100mm)",废聚苯乙烯,Cut-off,全球,kg,0.1508063,温室气体-产品碳足迹-量化要求和指南
42618946975817738,42618945419993099,41524144274399237,42433951606104080,26336156619721589,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,印度,kg,0.885479196050268,温室气体-产品碳足迹-量化要求和指南
42618946975817739,42618945419993099,41524144274399237,42433951606104080,26336156619721648,废弃物处置,废聚对苯二甲酸乙二醇酯处理，不卫生填埋，湿润入渗等级（500mm）,"treatment of waste polyethylene terephthalate, unsanitary landfill, wet infiltration class (500mm)",废聚对苯二甲酸乙二醇酯,Cut-off,全球,kg,0.132890359902768,温室气体-产品碳足迹-量化要求和指南
42618946975817740,42618945419993099,41524144274399237,42433951606104080,26336156619721697,废弃物处置,废塑料处理，工业电子产品，城市焚烧FAE,"treatment of waste plastic, industrial electronics, municipal incineration FAE",废塑料，工业电子产品,Cut-off,瑞士,kg,3.03643539961046,温室气体-产品碳足迹-量化要求和指南
42618946975817741,42618945419993099,41524144274399237,42433951606104080,26336156619721717,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,科索沃,kg,0.632845554092906,温室气体-产品碳足迹-量化要求和指南
42618946975817742,42618945419993099,41524144274399237,42433951606104080,26336156619721743,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,克罗地亚,kg,0.17685445512962,温室气体-产品碳足迹-量化要求和指南
42618946975817743,42618945419993099,41524144274399237,42433951606104080,26336156619721744,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,芬兰,kg,1.97326973417175,温室气体-产品碳足迹-量化要求和指南
42618946975817744,42618945419993099,41524144274399237,42433951606104080,26336156619721751,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,西班牙,kg,0.520909190901464,温室气体-产品碳足迹-量化要求和指南
42618946975817745,42618945419993099,41524144274399237,42433951606104080,26336156619721778,废弃物处置,废聚苯乙烯市场,market for waste polystyrene,废聚苯乙烯,Cut-off,秘鲁,kg,0.395069558783314,温室气体-产品碳足迹-量化要求和指南
42618946975817746,42618945419993099,41524144274399237,42433951606104080,26336156619721929,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,斯洛伐克,kg,0.552011059336294,温室气体-产品碳足迹-量化要求和指南
42618946975817747,42618945419993099,41524144274399237,42433951606104080,26336156619722237,废弃物处置,废聚氨酯泡沫市场,market for waste polyurethane foam,废聚氨酯泡沫,Cut-off,瑞士,kg,2.67719417532686,温室气体-产品碳足迹-量化要求和指南
42618946975817748,42618945419993099,41524144274399237,42433951606104080,26336156619722264,废弃物处置,废聚苯乙烯市场,market for waste polystyrene,废聚苯乙烯,Cut-off,爱尔兰,kg,1.54084205470259,温室气体-产品碳足迹-量化要求和指南
42618946975817749,42618945419993099,41524144274399237,42433951606104080,26336156619722284,废弃物处置,废聚氨酯市场,market for waste polyurethane,废聚氨酯,Cut-off,南非,kg,0.239666700801264,温室气体-产品碳足迹-量化要求和指南
42618946975817750,42618945419993099,41524144274399237,42433951606104080,26336156619722366,废弃物处置,废聚对苯二甲酸乙二醇酯处理，露天焚烧,"treatment of waste polyethylene terephthalate, open burning",废聚对苯二甲酸乙二醇酯,Cut-off,全球,kg,2.15045625,温室气体-产品碳足迹-量化要求和指南
42618946975817751,42618945419993099,41524144274399237,42433951606104080,26336156619722482,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,黑山共和国,kg,0.295840015756388,温室气体-产品碳足迹-量化要求和指南
42618946975817752,42618945419993099,41524144274399237,42433951606104080,26336156619722507,废弃物处置,废聚氨酯处理，不卫生填埋，潮湿入渗等级（300mm）,"treatment of waste polyurethane, unsanitary landfill, moist infiltration class (300mm)",废聚氨酯,Cut-off,全球,kg,0.153022099902768,温室气体-产品碳足迹-量化要求和指南
42618946975817753,42618945419993099,41524144274399237,42433951606104080,26336156619722575,废弃物处置,废聚氯乙烯处理，露天堆放，极湿润入渗等级（1000mm）,"treatment of waste polyvinylchloride, open dump, very wet infiltration class (1000mm)",废聚氯乙烯,Cut-off,全球,kg,0.07651024,温室气体-产品碳足迹-量化要求和指南
42618946975817754,42618945419993099,41524144274399237,42433951606104080,26336156619722591,废弃物处置,废塑料处理，工业电子产品，城市焚烧,"treatment of waste plastic, industrial electronics, municipal incineration",废塑料，工业电子产品,Cut-off,全球,kg,3.04934151599058,温室气体-产品碳足迹-量化要求和指南
42618946975817755,42618945419993099,41524144274399237,42433951606104080,26336156619722775,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,奥地利,kg,2.46171360992019,温室气体-产品碳足迹-量化要求和指南
42618946976079877,42618945419993099,41524144274399237,42433951606104080,26336156619722777,废弃物处置,废聚氯乙烯市场,market for waste polyvinylchloride,废聚氯乙烯,Cut-off,德国,kg,2.1302718802389,温室气体-产品碳足迹-量化要求和指南
42618946976079878,42618945419993099,41524144274399237,42433951606104080,26336156619722853,废弃物处置,废聚氯乙烯处理，露天堆放，湿润入渗等级（500mm）,"treatment of waste polyvinylchloride, open dump, wet infiltration class (500mm)",废聚氯乙烯,Cut-off,全球,kg,0.07651024,温室气体-产品碳足迹-量化要求和指南
42618946976079879,42618945419993099,41524144274399237,42433951606104080,26336156619722924,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,希腊,kg,0.161827341415792,温室气体-产品碳足迹-量化要求和指南
42618946976079880,42618945419993099,41524144274399237,42433951606104080,26336156619722937,废弃物处置,废聚苯乙烯市场,market for waste polystyrene,废聚苯乙烯,Cut-off,瑞典,kg,3.17042915526652,温室气体-产品碳足迹-量化要求和指南
42618946976079881,42618945419993099,41524144274399237,42433951606104080,26336156619723069,废弃物处置,废聚氨酯市场,market for waste polyurethane,废聚氨酯,Cut-off,葡萄牙,kg,0.909187078282807,温室气体-产品碳足迹-量化要求和指南
42618946976079882,42618945419993099,41524144274399237,42433951606104080,26336156619723080,废弃物处置,废聚丙烯市场组,market group for waste polypropylene,废聚丙烯,Cut-off,欧洲（不包括瑞士）,kg,1.50899783569112,温室气体-产品碳足迹-量化要求和指南
42618946976079883,42618945419993099,41524144274399237,42433951606104080,26336156619723107,废弃物处置,废聚乙烯市场,market for waste polyethylene,废聚乙烯,Cut-off,斯洛伐克,kg,0.650708706031019,温室气体-产品碳足迹-量化要求和指南
42618946976079884,42618945419993099,41524144274399237,42433951606104080,26336156619723182,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,哥伦比亚,kg,0.266833772467302,温室气体-产品碳足迹-量化要求和指南
42618946976079885,42618945419993099,41524144274399237,42433951606104080,26336156619723187,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,斯洛文尼亚,kg,1.82494883828514,温室气体-产品碳足迹-量化要求和指南
42618946976079886,42618945419993099,41524144274399237,42433951606104080,26336156619723191,废弃物处置,废聚乙烯市场,market for waste polyethylene,废聚乙烯,Cut-off,奥地利,kg,2.91287738435048,温室气体-产品碳足迹-量化要求和指南
42618946976079887,42618945419993099,41524144274399237,42433951606104080,26336156619723246,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,保加利亚,kg,0.296621136973949,温室气体-产品碳足迹-量化要求和指南
42618946976079888,42618945419993099,41524144274399237,42433951606104080,26336156619723348,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,世界其他地区,kg,0.679977623471426,温室气体-产品碳足迹-量化要求和指南
42618946976079889,42618945419993099,41524144274399237,42433951606104080,26336156619723448,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,丹麦,kg,2.03542071288601,温室气体-产品碳足迹-量化要求和指南
42618946976079890,42618945419993099,41524144274399237,42433951606104080,26336156619723450,废弃物处置,废聚苯乙烯市场,market for waste polystyrene,废聚苯乙烯,Cut-off,瑞士,kg,3.16634633730303,温室气体-产品碳足迹-量化要求和指南
42618946976079891,42618945419993099,41524144274399237,42433951606104080,26336156619723501,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,罗马尼亚,kg,0.479362021921036,温室气体-产品碳足迹-量化要求和指南
42618946976079892,42618945419993099,41524144274399237,42433951606104080,26336156619723508,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,保加利亚,kg,0.375579091582261,温室气体-产品碳足迹-量化要求和指南
42618946976079893,42618945419993099,41524144274399237,42433951606104080,26336156619723544,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,阿尔巴尼亚,kg,0.378570733781461,温室气体-产品碳足迹-量化要求和指南
42618946976079894,42618945419993099,41524144274399237,42433951606104080,26336156619723560,废弃物处置,废聚乙烯市场,market for waste polyethylene,废聚乙烯,Cut-off,塞浦路斯,kg,0.243901158242327,温室气体-产品碳足迹-量化要求和指南
42618946976079895,42618945419993099,41524144274399237,42433951606104080,26336156619723605,废弃物处置,废聚乙烯处理，露天堆放，极干入渗等级（-250mm）,"treatment of waste polyethylene, open dump, hyperarid infiltration class (-250mm)",废聚乙烯,Cut-off,全球,kg,0.14635348,温室气体-产品碳足迹-量化要求和指南
42618946976079896,42618945419993099,41524144274399237,42433951606104080,26336156619723612,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,塞尔维亚,kg,0.352541403824291,温室气体-产品碳足迹-量化要求和指南
42618946976079897,42618945419993099,41524144274399237,42433951606104080,26336156619723661,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,奥地利,kg,2.23866651702659,温室气体-产品碳足迹-量化要求和指南
42618946976079898,42618945419993099,41524144274399237,42433951606104080,26336156619723745,废弃物处置,废塑料市场，混合物,"market for waste plastic, mixture",废塑料，混合物,Cut-off,意大利,kg,1.12891656709067,温室气体-产品碳足迹-量化要求和指南
42618946976079899,42618945419993099,41524144274399237,42433951606104080,26336156619723784,废弃物处置,废聚丙烯市场,market for waste polypropylene,废聚丙烯,Cut-off,黑山共和国,kg,0.32961942847712,温室气体-产品碳足迹-量化要求和指南
42618946976079900,42618945419993099,41524144274399237,42433951606104080,26336156619723982,废弃物处置,废聚对苯二甲酸乙二醇酯处理，卫生填埋,"treatment of waste polyethylene terephthalate, sanitary landfill",废聚对苯二甲酸乙二醇酯,Cut-off,瑞士,kg,0.0818392046554489,温室气体-产品碳足迹-量化要求和指南
42618946976342021,42618945419993099,41524144274399237,42433951606104080,26336156619724059,废弃物处置,废聚对苯二甲酸乙二醇酯市场,market for waste polyethylene terephthalate,废聚对苯二甲酸乙二醇酯,Cut-off,南非,kg,0.209758734246514,温室气体-产品碳足迹-量化要求和指南
42618946976342022,42618945419993099,41524144274399237,42433951606104080,26336156619724109,废弃物处置,废聚氯乙烯处理，卫生填埋,"treatment of waste polyvinylchloride, sanitary landfill",废聚氯乙烯,Cut-off,瑞士,kg,0.0675599472213341,温室气体-产品碳足迹-量化要求和指南
42618946976342023,42618945419993099,41524144274399237,42433951606104080,26336156619724145,废弃物处置,废聚苯乙烯市场,market for waste polystyrene,废聚苯乙烯,Cut-off,法国,kg,2.03880928293798,温室气体-产品碳足迹-量化要求和指南
